,,,,,
,,,,,
Symbol,Name,Market Cap,Last Sale,Net Change,Percentage Change
AAPL,Apple Inc. Common Stock,"2,286,448,399,200",$131.88 ,-5.25,-3.83%
ABNB,"Airbnb, Inc. Class A Common Stock","59,001,753,763",$98.93 ,-9.98,-9.16%
ADBE,Adobe Inc. Common Stock,"175,604,625,000",$371.65 ,-22.19,-5.63%
ADI,"Analog Devices, Inc. Common Stock","76,811,736,758",$147.77 ,-9.15,-5.83%
ADP,"Automatic Data Processing, Inc. Common Stock","85,537,906,844",$204.76 ,-6.86,-3.24%
ADSK,"Autodesk, Inc. Common Stock","37,609,818,686",$173.10 ,-13.98,-7.47%
AEP,"American Electric Power Company, Inc. Common Stock","47,764,743,810",$93.01 ,-5.25,-5.34%
ALGN,"Align Technology, Inc. Common Stock","19,229,341,523",$244.01 ,-13.045,-5.07%
AMAT,"Applied Materials, Inc. Common Stock","83,793,321,721",$96.32 ,-5.56,-5.46%
AMD,"Advanced Micro Devices, Inc. Common Stock","141,564,479,175",$86.99 ,-7.83,-8.26%
AMGN,Amgen Inc. Common Stock,"126,482,518,136",$236.77 ,-3.24,-1.35%
AMZN,"Amazon.com, Inc. Common Stock","1,055,037,999,694",$103.67 ,-5.98,-5.45%
ANSS,"ANSYS, Inc. Common Stock","20,057,311,968",$230.57 ,-11.3,-4.67%
ASML,ASML Holding N.V. New York Registry Shares,"198,716,104,145",$493.58 ,-27.95,-5.36%
ATVI,"Activision Blizzard, Inc. Common Stock","58,453,458,847",$74.76 ,-1.72,-2.25%
AVGO,Broadcom Inc. Common Stock,"218,123,515,658",$517.62 ,-23.65,-4.37%
AZN,AstraZeneca PLC American Depositary Shares,"185,967,462,852",$60.01 ,-1.78,-2.88%
BIDU,"Baidu, Inc. ADS","45,571,201,654",$131.88 ,-10.99,-7.69%
BIIB,Biogen Inc. Common Stock,"28,142,218,818",$192.16 ,-5.34,-2.70%
BKNG,Booking Holdings Inc. Common Stock,"80,406,423,066","$1,979.32 ",-125.64,-5.97%
CDNS,"Cadence Design Systems, Inc. Common Stock","39,064,019,940",$141.66 ,-7.45,-5%
CEG,Constellation Energy Corporation Common Stock,"18,125,257,025",$55.48 ,-4.31,-7.21%
CHTR,"Charter Communications, Inc. Class A Common Stock New","93,120,528,971",$454.47 ,-19.72,-4.16%
CMCSA,Comcast Corporation Class A Common Stock,"180,096,592,829",$40.20 ,-1.43,-3.44%
COST,Costco Wholesale Corporation Common Stock,"200,329,993,685",$452.25 ,-11.06,-2.39%
CPRT,"Copart, Inc. (DE) Common Stock","24,924,723,045",$104.87 ,-3.43,-3.17%
CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock","35,859,713,676",$154.52 ,-14.8,-8.74%
CSCO,"Cisco Systems, Inc. Common Stock (DE)","179,055,284,960",$43.24 ,-0.25,-0.57%
CSX,CSX Corporation Common Stock,"64,053,698,186",$29.46 ,-0.84,-2.77%
CTAS,Cintas Corporation Common Stock,"36,616,969,401",$357.85 ,-16.91,-4.51%
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,"35,382,491,862",$67.89 ,-2.02,-2.89%
DDOG,"Datadog, Inc. Class A Common Stock","27,135,597,199",$86.14 ,-10.06,-10.46%
DLTR,Dollar Tree Inc. Common Stock,"34,808,431,140",$155.01 ,-0.99,-0.63%
DOCU,"DocuSign, Inc. Common Stock","11,818,285,461",$59.12 ,-6.81,-10.33%
DXCM,"DexCom, Inc. Common Stock","427,420,863,999",$68.06 ,-5.4025,-7.35%
EA,Electronic Arts Inc. Common Stock,"36,039,100,580",$128.76 ,-4.68,-3.51%
EBAY,eBay Inc. Common Stock,"24,034,022,856",$42.93 ,-1.35,-3.05%
EXC,Exelon Corporation Common Stock,"42,815,555,546",$43.68 ,-2.33,-5.06%
FAST,Fastenal Company Common Stock,"28,826,350,083",$50.08 ,-1.9,-3.66%
FISV,"Fiserv, Inc. Common Stock","57,929,836,105",$89.62 ,-4.72,-5%
FTNT,"Fortinet, Inc. Common Stock","42,778,874,074",$266.49 ,-21.82,-7.57%
GILD,"Gilead Sciences, Inc. Common Stock","74,192,640,449",$59.15 ,-1.59,-2.62%
GOOG,Alphabet Inc. Class C Capital Stock,"1,407,563,242,084","$2,137.53 ",-91.02,-4.08%
GOOGL,Alphabet Inc. Class A Common Stock,"1,401,188,963,274","$2,127.85 ",-95.38,-4.29%
HON,Honeywell International Inc. Common Stock,"125,540,766,951",$184.42 ,-1.86,-1%
IDXX,"IDEXX Laboratories, Inc. Common Stock","28,243,231,735",$336.20 ,-9.685,-2.80%
ILMN,"Illumina, Inc. Common Stock","30,526,101,000",$194.31 ,-9.88,-4.84%
INTC,Intel Corporation Common Stock,"154,441,530,000",$37.77 ,-1.41,-3.60%
INTU,Intuit Inc. Common Stock,"102,673,216,330",$363.99 ,-17.23,-4.52%
ISRG,"Intuitive Surgical, Inc. Common Stock","69,985,750,950",$194.97 ,-10.3,-5.02%
JD,"JD.com, Inc. American Depositary Shares","92,033,785,714",$58.93 ,-2.58,-4.19%
KDP,Keurig Dr Pepper Inc. Common Stock,"49,223,575,070",$34.70 ,-0.79,-2.23%
KHC,The Kraft Heinz Company Common Stock,"44,114,568,501",$36.04 ,-1.41,-3.77%
KLAC,KLA Corporation Common Stock,"46,841,897,180",$313.88 ,-19.78,-5.93%
LCID,"Lucid Group, Inc. Common Stock","27,202,479,746",$16.31 ,-1.71,-9.49%
LRCX,Lam Research Corporation Common Stock,"62,016,714,271",$447.08 ,-27.33,-5.76%
LULU,lululemon athletica inc. Common Stock,"35,558,733,174",$278.58 ,-13.02,-4.47%
MAR,Marriott International Class A Common Stock,"49,782,084,511",$152.10 ,-7.77,-4.86%
MCHP,Microchip Technology Incorporated Common Stock,"33,258,987,974",$59.98 ,-4.17,-6.50%
MDLZ,"Mondelez International, Inc. Class A Common Stock","81,928,279,014",$59.20 ,-1.6,-2.63%
MELI,"MercadoLibre, Inc. Common Stock","31,583,971,408",$626.94 ,-64.75,-9.36%
META,,"444,540,679,549",$164.26 ,-11.31,-6.44%
MNST,Monster Beverage Corporation,"44,751,937,177",$84.49 ,-2.55,-2.93%
MRNA,"Moderna, Inc. Common Stock","46,589,572,226",$117.13 ,-9.99,-7.86%
MRVL,"Marvell Technology, Inc. Common Stock","41,483,619,000",$48.81 ,-4.26,-8.03%
MSFT,Microsoft Corporation Common Stock,"1,811,870,567,285",$242.26 ,-10.73,-4.24%
MTCH,"Match Group, Inc. Common Stock","20,654,068,692",$72.32 ,-4.36,-5.69%
MU,"Micron Technology, Inc. Common Stock","65,704,677,866",$58.84 ,-3.78,-6.04%
NFLX,"Netflix, Inc. Common Stock","75,388,829,607",$169.69 ,-13.25,-7.24%
NTES,"NetEase, Inc. American Depositary Shares","66,559,924,926",$101.34 ,-4.31,-4.08%
NVDA,NVIDIA Corporation Common Stock,"391,175,000,000",$156.47 ,-13.27,-7.82%
NXPI,NXP Semiconductors N.V. Common Stock,"44,247,418,411",$168.52 ,-10.05,-5.63%
ODFL,"Old Dominion Freight Line, Inc. Common Stock","27,170,896,272",$239.70 ,-7.48,-3.03%
OKTA,"Okta, Inc. Class A Common Stock","12,884,253,473",$81.66 ,-8.46,-9.39%
ORLY,"O'Reilly Automotive, Inc. Common Stock","39,058,653,663",$594.27 ,-13.17,-2.17%
PANW,"Palo Alto Networks, Inc. Common Stock","47,598,814,865",$477.73 ,-17.49,-3.53%
PAYX,"Paychex, Inc. Common Stock","42,314,848,165",$117.21 ,-3.42,-2.84%
PCAR,PACCAR Inc. Common Stock,"28,850,753,762",$82.98 ,-2.12,-2.49%
PDD,Pinduoduo Inc. American Depositary Shares,"68,795,224,250",$54.41 ,-5.54,-9.24%
PEP,"PepsiCo, Inc. Common Stock","220,869,871,715",$159.74 ,-2.78,-1.71%
PYPL,"PayPal Holdings, Inc. Common Stock","85,370,703,566",$73.72 ,-5.58,-7.04%
QCOM,QUALCOMM Incorporated Common Stock,"144,099,200,000",$128.66 ,-4.54,-3.41%
REGN,"Regeneron Pharmaceuticals, Inc. Common Stock","60,338,514,364",$549.30 ,-22.51,-3.94%
ROST,"Ross Stores, Inc. Common Stock","26,184,992,587",$74.83 ,-2.37,-3.07%
SBUX,Starbucks Corporation Common Stock,"82,989,684,000",$72.36 ,-3.31,-4.37%
SGEN,Seagen Inc. Common Stock,"25,696,959,763",$139.60 ,0.2,0.14%
SIRI,Sirius XM Holdings Inc. Common Stock,"23,301,809,710",$5.92 ,-0.18,-2.95%
SNPS,"Synopsys, Inc. Common Stock","44,399,614,772",$290.25 ,-15.14,-4.96%
SPLK,Splunk Inc. Common Stock,"14,114,148,000",$87.72 ,-10.74,-10.91%
SWKS,"Skyworks Solutions, Inc. Common Stock","14,993,487,905",$93.17 ,-7.08,-7.06%
TEAM,Atlassian Corporation Plc Class A Ordinary Shares,"42,152,312,489",$166.29 ,-17.52,-9.53%
TMUS,"T-Mobile US, Inc. Common Stock","156,221,741,888",$124.62 ,-5.89,-4.51%
TSLA,"Tesla, Inc. Common Stock","670,515,983,559",$647.21 ,-49.48,-7.10%
TXN,Texas Instruments Incorporated Common Stock,"141,575,209,223",$153.53 ,-4.25,-2.69%
VRSK,"Verisk Analytics, Inc. Common Stock","25,528,015,047",$161.67 ,-2.43,-1.48%
VRSN,"VeriSign, Inc. Common Stock","17,819,651,965",$162.67 ,-6.43,-3.80%
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,"62,759,955,270",$245.39 ,-9.49,-3.72%
WBA,"Walgreens Boots Alliance, Inc. Common Stock","34,792,795,130",$40.28 ,-1.26,-3.03%
WDAY,"Workday, Inc. Class A Common Stock","36,126,420,000",$142.23 ,-7.05,-4.72%
XEL,Xcel Energy Inc. Common Stock,"37,248,838,093",$68.39 ,-2.62,-3.69%
ZM,"Zoom Video Communications, Inc. Class A Common Stock","30,828,402,252",$103.32 ,-5.75,-5.27%
ZS,"Zscaler, Inc. Common Stock","19,890,210,669",$140.98 ,-12.63,-8.22%
